url,words,ratio,is_legal,status
https://envizion.work/212,549,14.03,No,Optimal Content Density
https://envizion.work/about.html,657,17.76,Yes,Optimal Content Density
https://envizion.work/app-business-tools.html,70,5.12,No,Low-Value Content Risk (Thin UI)
https://envizion.work/app-creator-suite.html,77,5.25,No,Low-Value Content Risk (Thin UI)
https://envizion.work/app-study-workspace.html,78,5.15,No,Low-Value Content Risk (Thin UI)
https://envizion.work/tools2/CodeWeb.html,0,0,No,Failed: 404 Client Error: Not Found fo...
https://envizion.work/contact.html,498,12.32,Yes,Optimal Content Density
https://envizion.work/editorial-policy.html,217,17.44,No,Optimal Content Density
https://envizion.work,1734,15.49,No,Optimal Content Density
https://envizion.work/Loma/image-gen.html,428,12.02,No,Optimal Content Density
https://envizion.work/Loma,646,2.34,No,High Code-to-Text Discrepancy
https://envizion.work/Loma/music-gen.html,407,9.78,No,High Code-to-Text Discrepancy
https://envizion.work/main.html,509,21.73,No,Optimal Content Density
https://envizion.work/privacy.html,571,30.4,Yes,Optimal Content Density
https://envizion.work/reviews-blog/blog-post.html,11,0.72,No,Low-Value Content Risk (Thin UI)
https://envizion.work/reviews-blog/blog.html,474,12.34,No,Optimal Content Density
https://envizion.work/reviews-blog/game.html,12,0.67,No,Low-Value Content Risk (Thin UI)
https://envizion.work/reviews-blog/gamevaultoriginal.html,49,0.4,No,Low-Value Content Risk (Thin UI)
https://envizion.work/reviews-blog,1366,17.14,No,Optimal Content Density
https://envizion.work/reviews-blog/indexcopy.html,49,0.4,No,Low-Value Content Risk (Thin UI)
https://envizion.work/terms.html,572,30.87,Yes,Optimal Content Density
https://envizion.work/tools/advanced-video-watermarker.html,670,21.09,No,Optimal Content Density
https://envizion.work/tools/background-remover-home.html,429,20.47,No,Optimal Content Density
https://envizion.work/tools/background-remover.html,570,11.64,No,Optimal Content Density
https://envizion.work/tools/htmlviewer.html,1326,15.7,No,Optimal Content Density
https://envizion.work/tools/image-optimizer-pro.html,652,21.76,No,Optimal Content Density
https://envizion.work/tools/Image-Text-Extractor.html,504,7.43,No,High Code-to-Text Discrepancy
https://envizion.work/tools/imagesupscaler.html,337,7.72,No,High Code-to-Text Discrepancy
https://envizion.work/tools,901,31.45,No,Optimal Content Density
https://envizion.work/tools/instant-dictionary-home.html,369,19.08,No,Optimal Content Density
https://envizion.work/tools/InstantDictionary.html,412,12.59,No,Optimal Content Density
https://envizion.work/tools/life-tools-home.html,461,15.3,No,Optimal Content Density
https://envizion.work/tools/life-tools.html,575,10.01,No,Optimal Content Density
https://envizion.work/tools/local_video_image_mask_merger.html,604,7.04,No,High Code-to-Text Discrepancy
https://envizion.work/tools/media-library.html,418,13.06,No,Optimal Content Density
https://envizion.work/tools/mediaforge-home.html,382,18.07,No,Optimal Content Density
https://envizion.work/tools/mediaforge.html,444,10.46,No,Optimal Content Density
https://envizion.work/tools/mediaplayer-home.html,1128,33.79,No,Optimal Content Density
https://envizion.work/tools/mp4tomp3-home.html,390,18.14,No,Optimal Content Density
https://envizion.work/tools/mp4tomp3.html,509,12.55,No,Optimal Content Density
https://envizion.work/tools/omniconvert-home.html,363,17.79,No,Optimal Content Density
https://envizion.work/tools/pdf-to-text-home.html,461,20.7,No,Optimal Content Density
https://envizion.work/tools/pdfmerger.html,796,15.34,No,Optimal Content Density
https://envizion.work/tools/pdfstotxt.html,436,16.9,No,Optimal Content Density
https://envizion.work/tools/R,808,13.86,No,Optimal Content Density
https://envizion.work/tools/RREADME.html,2,4.85,No,Low-Value Content Risk (Thin UI)
https://envizion.work/tools/steganovault.html,1446,8.74,No,High Code-to-Text Discrepancy
https://envizion.work/tools/teleprompter-home.html,443,20.66,No,Optimal Content Density
https://envizion.work/tools/teleprompter.html,397,7.32,No,High Code-to-Text Discrepancy
https://envizion.work/tools/the-new-project.html,507,22.04,No,Optimal Content Density
https://envizion.work/tools/tools-guide.html,835,25.89,No,Optimal Content Density
https://envizion.work/tools/u8.html,689,7.87,No,High Code-to-Text Discrepancy
https://envizion.work/tools/universal-file-encryption.html,638,22.03,No,Optimal Content Density
https://envizion.work/tools/velolink.html,799,10.41,No,Optimal Content Density
https://envizion.work/tools/vocal-music-separator.html,710,6.29,No,High Code-to-Text Discrepancy
https://envizion.work/tools/voice-recorder.html,528,5.54,No,High Code-to-Text Discrepancy
https://envizion.work/tools2/about.html,783,29.52,Yes,Optimal Content Density
https://envizion.work/tools2/animator_studio.html,1131,6.32,No,High Code-to-Text Discrepancy
https://envizion.work/tools2/bulk_webp_converter.html,948,24.34,No,Optimal Content Density
https://envizion.work/tools2/tools2/CodeWeb.html,0,0,No,Failed: 404 Client Error: Not Found fo...
https://envizion.work/tools2/codewebabout.html,0,0,No,Failed: 404 Client Error: Not Found fo...
https://envizion.work/tools2/contact.html,750,28.62,Yes,Optimal Content Density
https://envizion.work/tools2/envizion_editor.html,77,0.83,No,Low-Value Content Risk (Thin UI)
https://envizion.work/tools2/envizion_playground.html,69,1.22,No,Low-Value Content Risk (Thin UI)
https://envizion.work/tools2/envizion_pro_studio_editor.html,1038,9.27,No,High Code-to-Text Discrepancy
https://envizion.work/tools2/fbx_to_glb_converter.html,988,20.57,No,Optimal Content Density
https://envizion.work/tools2/image_resizer.html,972,25.59,No,Optimal Content Density
https://envizion.work/tools2,1538,24.7,No,Optimal Content Density
https://envizion.work/tools2/local_glb_viewer.html,1022,19.37,No,Optimal Content Density
https://envizion.work/tools2/local_video_image_mask_merger.html,1057,8.75,No,High Code-to-Text Discrepancy
https://envizion.work/tools2/local_vocal_remover.html,1102,18.82,No,Optimal Content Density
https://envizion.work/tools2/luma_dashboard_clone.html,192,3.02,No,High Code-to-Text Discrepancy
https://envizion.work/tools2/main...3d_model_viewer.html,1449,7.16,No,High Code-to-Text Discrepancy
https://envizion.work/tools2/mp3_editor_mp4_converter.html,1177,11.22,No,Optimal Content Density
https://envizion.work/tools2/pdf_merger.html,1025,25.8,No,Optimal Content Density
https://envizion.work/tools2/privacy.html,867,31.89,Yes,Optimal Content Density
https://envizion.work/tools2/secure_converter.html,2027,31.5,No,Optimal Content Density
https://envizion.work/tools2/secure_pdf_compressor.html,996,25.11,No,Optimal Content Density
https://envizion.work/tools2/superfast_video_compressor.html,2543,18.36,No,Optimal Content Density
https://envizion.work/tools2/visual_level_builder.html,1087,11.28,No,Optimal Content Density
https://envizion.work/website-envizion.html,129,7.4,No,Low-Value Content Risk (Thin UI)
https://envizion.work/woodbury_getaway (3).html,101,0.58,No,Low-Value Content Risk (Thin UI)
https://envizion.work/Worldcup.html,571,10.89,No,Optimal Content Density
https://envizion.work/WorldCups/archive2022.html,72,5.16,No,Low-Value Content Risk (Thin UI)
https://envizion.work/WorldCups,629,11.77,No,Optimal Content Density
https://envizion.work/WorldCups/team.html,37,2.81,No,Low-Value Content Risk (Thin UI)
https://envizion.work/WorldCups/trivia.html,64,6.11,No,Low-Value Content Risk (Thin UI)
